server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode,proxy_cpu_pct,nodes,target_role,cluster_cpu_pct,node_cpu,resent_inputs,forward_rewinds,drop_node_proposals,refused_connections,rejected_puts,term_changes,leader_changes,isolated_after
rs,producers-consumers,10,4096,1,1,10932.4,55.2,542.1,830.2,195509.1,538.0,818.1,195472.8,537.8,827.3,65089.0,6.12,0,0,cluster-leader,,3,leader,96.2,1:F:19.8;2:F:18.9;3:L*:57.5,0,0,0,0,0,0,0,0
rs,producers-consumers,10,4096,1,1,8462.4,28.4,671.4,1085.2,113366.6,647.5,1072.0,113359.5,645.7,1061.4,113362.5,5.87,0,0,cluster-follower,,3,follower,70.1,1:F*:24.2;2:F:13.4;3:L:32.5,0,0,0,0,0,0,0,0
rs,producers-consumers,10,4096,1,2,140893.3,173.1,68.2,142.7,196.2,68.0,141.5,194.1,66.8,139.6,192.0,5.42,0,0,none,,,,,,,,,,,,,
rs,producers-consumers,10,4096,1,2,9829.2,50.3,554.0,859.5,130219.5,549.5,839.8,64850.4,549.2,850.4,130117.5,5.42,0,0,cluster-leader,,3,leader,72.7,1:F:14.0;2:F:22.9;3:L*:35.8,15,1,0,0,0,1,1,0
rs,producers-consumers,10,4096,1,2,10828.0,36.4,706.0,1064.4,70336.4,682.6,1050.7,3948.9,680.6,1045.7,70316.9,4.66,0,0,cluster-follower,,3,follower,115.8,1:F*:39.8;2:F:21.7;3:L:54.3,0,0,0,0,0,0,0,0
rs,producers-consumers,10,4096,1,3,136644.8,175.6,70.1,149.1,216.5,70.0,147.3,212.5,68.8,147.2,215.6,4.72,0,0,none,,,,,,,,,,,,,
rs,producers-consumers,10,4096,1,3,12724.9,58.5,511.6,758.3,122490.4,507.7,756.2,139614.9,506.4,742.7,89549.8,4.91,0,0,cluster-leader,,3,leader,102.1,1:F:21.0;2:F:21.5;3:L*:59.6,0,0,0,0,0,0,0,0
rs,producers-consumers,10,4096,1,3,8430.1,30.0,700.2,1115.6,173088.8,674.4,1102.5,193083.4,671.7,1090.5,78332.0,5.15,0,0,cluster-follower,,3,follower,80.1,1:F*:32.7;2:L:32.2;3:F:15.2,17,2,0,0,0,3,1,0
rs,producers-consumers,10,4096,1,4,137008.6,173.3,69.9,148.3,210.4,69.8,147.1,208.3,68.4,145.1,208.2,5.81,0,0,none,,,,,,,,,,,,,
rs,producers-consumers,10,4096,1,4,10206.3,42.2,564.5,1141.6,92607.8,549.5,1164.9,119667.3,549.2,1108.9,92614.3,6.06,0,0,cluster-leader,,3,leader,104.5,1:F:20.9;2:F:39.9;3:L*:43.7,15,1,0,0,0,1,1,0
