server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode
rs,put-reserve-delete,100,4096,1,3,174129.1,266.2,545.5,2063.6,2776.7,543.2,2059.4,2803.2,543.5,2043.0,2802.5,6.61,0,0,default
ref,put-reserve-delete,100,4096,1,3,26282.6,33.9,2481.7,9885.7,561494.8,1436.1,8556.5,527071.9,1622.9,3279.2,527587.4,6.56,0,0,f0
rs,put-reserve-delete,100,4096,1,3,24602.1,47.1,1864.3,3458.3,630468.0,1432.8,2978.8,558420.3,1351.5,3200.0,533252.6,6.11,0,0,f0
ref,producers-consumers,10,16,1,1,141412.6,69.9,75.8,110.2,155.8,76.4,111.0,155.9,75.6,109.5,155.9,5.62,0,0,none
rs,producers-consumers,10,16,1,1,179357.2,132.1,53.3,105.1,174.2,53.6,105.4,175.4,53.1,104.8,173.2,5.36,0,0,none
ref,producers-consumers,10,16,1,1,111747.4,90.9,92.0,155.2,218.8,89.1,150.9,215.7,92.0,155.9,219.7,5.23,0,0,F
rs,producers-consumers,10,16,1,1,140151.8,166.3,69.2,129.2,204.0,67.7,127.1,196.1,68.9,128.5,204.4,5.05,0,0,F
ref,producers-consumers,10,16,1,1,111230.6,90.4,92.1,165.9,238.0,89.3,162.2,235.0,92.1,168.1,237.3,4.81,0,0,default
rs,producers-consumers,10,16,1,1,139964.9,166.7,69.2,132.5,211.2,67.5,130.2,211.8,68.8,131.5,209.3,4.61,0,0,default
ref,producers-consumers,10,16,1,1,50404.0,62.9,200.0,287.4,378.8,180.7,268.9,343.5,207.8,294.8,400.3,4.57,0,0,f0
rs,producers-consumers,10,16,1,1,61893.2,118.3,162.4,235.0,322.8,156.8,225.3,303.6,160.6,234.0,320.5,4.53,0,0,f0
ref,producers-consumers,10,16,1,2,141668.1,70.3,75.5,111.0,179.3,76.0,111.0,179.0,75.2,110.8,178.6,4.37,0,0,none
rs,producers-consumers,10,16,1,2,179552.4,133.1,53.4,104.7,165.5,53.5,105.4,167.6,53.1,104.6,164.3,4.23,0,0,none
ref,producers-consumers,10,16,1,2,112295.7,91.1,91.6,154.2,217.7,88.8,149.2,207.5,91.7,156.2,217.0,4.35,0,0,F
rs,producers-consumers,10,16,1,2,140315.1,166.6,69.2,128.5,195.9,67.6,126.0,195.5,68.8,127.3,191.3,3.98,0,0,F
ref,producers-consumers,10,16,1,2,111474.7,90.7,92.0,163.0,232.2,89.0,158.9,226.9,92.0,164.3,233.6,4.47,0,0,default
rs,producers-consumers,10,16,1,2,139673.3,165.3,69.5,130.5,207.3,67.9,127.8,206.7,69.2,129.9,209.1,4.27,0,0,default
ref,producers-consumers,10,16,1,2,50462.6,62.6,199.8,287.5,374.1,180.5,268.3,342.6,207.1,293.1,404.8,4.53,0,0,f0
rs,producers-consumers,10,16,1,2,61797.5,118.2,162.3,237.4,322.6,156.7,226.9,309.3,160.5,237.7,313.2,4.06,0,0,f0
ref,producers-consumers,10,16,1,3,140987.5,70.0,75.9,111.0,174.4,76.5,111.8,173.3,75.7,111.2,176.6,3.66,0,0,none
rs,producers-consumers,10,16,1,3,179048.4,133.5,53.6,104.6,159.0,53.8,104.7,160.6,53.4,104.0,159.1,3.47,0,0,none
ref,producers-consumers,10,16,1,3,111960.7,91.0,91.5,158.8,216.9,88.9,154.2,209.8,91.7,159.4,216.5,3.51,0,0,F
rs,producers-consumers,10,16,1,3,140186.5,166.8,69.3,128.0,193.1,67.8,126.0,191.8,69.0,127.6,191.7,3.51,0,0,F
ref,producers-consumers,10,16,1,3,111716.8,90.4,92.1,160.0,231.9,89.3,155.5,226.4,92.1,161.8,231.2,3.43,0,0,default
rs,producers-consumers,10,16,1,3,140820.0,167.6,68.9,128.8,203.5,67.3,126.2,198.0,68.7,128.5,200.8,3.69,0,0,default
ref,producers-consumers,10,16,1,3,50465.4,63.0,199.6,287.5,384.7,180.2,268.0,343.3,207.5,296.4,408.6,3.66,0,0,f0
rs,producers-consumers,10,16,1,3,61886.8,118.0,162.4,235.0,300.0,156.8,224.3,294.8,160.4,235.3,304.0,3.57,0,0,f0
ref,producers-consumers,10,4096,1,1,128390.4,72.2,86.0,126.1,190.1,78.1,114.2,171.8,76.0,112.4,174.7,3.60,0,0,none
rs,producers-consumers,10,4096,1,1,166332.9,150.8,57.4,124.3,183.1,57.3,123.5,181.7,56.2,122.4,181.2,3.50,0,0,none
ref,producers-consumers,10,4096,1,1,98739.4,97.0,97.2,212.2,7329.7,73.6,168.6,7199.0,76.5,173.1,7210.5,3.88,0,0,F
rs,producers-consumers,10,4096,1,1,124802.7,185.1,74.0,187.4,1173.5,71.2,178.8,1179.2,71.9,182.0,1164.0,3.97,0,0,F
ref,producers-consumers,10,4096,1,1,96175.4,95.7,98.0,235.5,7495.0,74.4,181.3,7277.0,77.1,187.4,7347.3,4.52,0,0,default
rs,producers-consumers,10,4096,1,1,124815.4,181.0,72.4,172.0,1202.9,69.7,163.2,1194.1,70.5,169.5,1182.3,4.21,0,0,default
ref,producers-consumers,10,4096,1,1,24660.3,35.4,243.3,474.3,7707.9,154.6,314.5,7214.4,187.9,376.0,7460.5,3.87,0,0,f0
rs,producers-consumers,10,4096,1,1,26579.0,55.0,172.5,336.7,1676.2,166.0,308.6,1636.0,169.2,329.2,1657.8,3.96,0,0,f0
